gen,block,line,level,day,patch,no_dispersals,value
2,1,1,high,4,b,1,26
2,1,1,high,4,b,2,72
2,1,1,high,4,b,3,72
2,1,1,low,2,a,0,188
2,1,1,low,2,b,1,12
2,1,1,low,3,a,0,138
2,1,1,low,3,a,1,6
2,1,1,low,3,b,1,50
2,1,1,low,3,b,2,6
2,1,1,low,4,a,0,92
2,1,1,low,4,a,1,28
2,1,1,low,4,a,2,1
2,1,1,low,4,b,1,46
2,1,1,low,4,b,2,28
2,1,1,low,4,b,3,5
2,1,2,high,2,a,0,97
2,1,2,high,2,b,1,103
2,1,2,high,3,a,0,44
2,1,2,high,3,a,1,12
2,1,2,high,3,b,1,53
2,1,2,high,3,b,2,91
2,1,2,high,4,a,0,23
2,1,2,high,4,a,1,13
2,1,2,high,4,a,2,3
2,1,2,high,4,b,1,19
2,1,2,high,4,b,2,54
2,1,2,high,4,b,3,87
2,1,2,low,2,a,0,163
2,1,2,low,2,b,1,37
2,1,2,low,3,a,0,136
2,1,2,low,3,a,1,19
2,1,2,low,3,b,1,27
2,1,2,low,3,b,2,18
2,1,2,low,4,a,0,101
2,1,2,low,4,a,1,28
2,1,2,low,4,a,2,5
2,1,2,low,4,b,1,35
2,1,2,low,4,b,2,18
2,1,2,low,4,b,3,13
2,1,3,high,2,a,0,na
2,1,3,high,2,b,1,na
2,1,3,high,3,a,0,na
2,1,3,high,3,a,1,na
2,1,3,high,3,b,1,na
2,1,3,high,3,b,2,na
2,1,3,high,4,a,0,na
2,1,3,high,4,a,1,na
2,1,3,high,4,a,2,na
2,1,3,high,4,b,1,na
2,1,3,high,4,b,2,na
2,1,3,high,4,b,3,na
2,1,3,low,2,a,0,181
2,1,3,low,2,b,1,19
2,1,3,low,3,a,0,158
2,1,3,low,3,a,1,8
2,1,3,low,3,b,1,23
2,1,3,low,3,b,2,11
2,1,3,low,4,a,0,122
2,1,3,low,4,a,1,20
2,1,3,low,4,a,2,2
2,1,3,low,4,b,1,36
2,1,3,low,4,b,2,11
2,1,3,low,4,b,3,9
2,1,4,high,2,a,0,84
2,1,4,high,2,b,1,116
2,1,4,high,3,a,0,36
